quiet,active,jailed
933,130,57
664,338,118
615,332,173
614,280,226
616,225,279
615,177,328
614,127,379
638,59,423
658,9,453
675,0,445
697,0,423
709,0,411
723,0,397
747,0,373
767,0,353
783,0,337
798,0,322
811,0,309
835,0,285
844,0,276
858,0,262
877,0,243
881,7,232
866,14,240
870,15,235
874,13,233
834,43,243
758,94,268
658,161,301
633,150,337
629,120,371
641,88,391
661,40,419
700,2,418
726,0,394
749,0,371
764,1,355
785,0,335
794,0,326
805,1,314
820,0,300
836,0,284
851,0,269
865,0,255
884,0,236
899,0,221
909,0,211
927,0,193
937,0,183
955,0,165
971,0,149
980,0,140
993,0,127
1007,0,113
1019,0,101
938,64,118
748,213,159
616,300,204
611,254,255
613,207,300
615,156,349
619,102,399
639,46,435
672,4,444
695,0,425
715,0,405
734,0,386
746,1,373
760,0,360
779,0,341
800,0,320
813,0,307
830,0,290
845,0,275
865,0,255
881,0,239
894,0,226
911,0,209
917,0,203
923,0,197
936,0,184
954,0,166
957,1,162
971,0,149
988,0,132
1012,0,108
1025,0,95
1038,0,82
1045,0,75
1054,0,66
1027,11,82
1016,14,90
870,119,131
667,263,190
615,260,245
613,206,301
614,152,354
620,101,399
637,43,440
678,1,441
692,0,428
712,0,408
735,0,385
745,0,375
759,0,361
770,0,350
778,0,342
792,0,328
814,0,306
835,0,285
856,0,264
872,0,248
890,0,230
909,0,211
934,0,186
948,0,172
957,0,163
972,0,148
990,0,130
1002,0,118
1017,0,103
1028,0,92
1045,0,75
1066,0,54
1073,0,47
1080,0,40
1083,0,37
1068,7,45
1078,0,42
1079,0,41
1078,0,42
982,58,80
739,242,139
615,309,196
614,254,252
611,202,307
615,154,351
613,109,398
631,55,434
659,8,453
677,0,443
701,0,419
713,1,406
725,0,395
732,2,386
752,0,368
752,2,366
763,0,357
786,0,334
804,0,316
792,12,316
818,1,301
838,0,282
847,0,273
863,0,257
875,0,245
884,7,229
911,0,209
927,0,193
947,0,173
960,0,160
980,0,140
994,0,126
987,9,124
967,23,130
837,116,167
656,247,217
612,245,263
613,193,314
618,142,360
632,80,408
642,46,432
670,12,438
691,1,428
706,0,414
718,0,402
743,0,377
760,0,360
775,0,345
797,0,323
816,0,304
833,0,287
847,0,273
864,0,256
884,0,236
900,0,220
919,0,201
934,0,186
944,3,173
945,0,175
913,32,175
766,149,205
640,225,255
614,207,299
613,162,345
626,115,379
651,62,407
671,23,426
694,2,424
718,0,402
